brand,model,year,mileage,engine,engine_size,transmission,automatic_transmission,fuel_type,drivetrain,min_mpg,max_mpg,damaged,first_owner,personal_using,turbo,alloy_wheels,adaptive_cruise_control,navigation_system,power_liftgate,backup_camera,keyless_start,remote_start,sunroof/moonroof,automatic_emergency_braking,stability_control,leather_seats,memory_seat,third_row_seating,apple_car_play/android_auto,bluetooth,usb_port,heated_seats,interior_color,exterior_color,price,vehicle_age,avg_mpg,predicted_price,actual_minus_predicted,predicted_minus_actual,difference_pct_of_predicted,pricing_flag
porsche,911 gt3 rs,2019.0,2058.0,4.0l h6 24v gdi dohc,4.0,7-speed automatic with auto-shift,1.0,gasoline,rear-wheel drive,19.0,23.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,black,black,257990.0,5.0,21.0,164335.34426205157,93654.65573794843,-93654.65573794843,56.98996534099526,potentially_overpriced
porsche,cayenne turbo gt,2022.0,4107.0,twin turbo premium unleaded v-8 4.0 l/244,4.0,automatic,1.0,gasoline,four-wheel drive,,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,black,black,199950.0,2.0,,107250.32590399867,92699.67409600133,-92699.67409600133,86.43299991365822,potentially_overpriced
mercedes-benz,sprinter 3500xd,2021.0,2583.0,3.0l v6 24v ddi dohc turbo diesel,3.0,7-speed automatic,1.0,diesel,rear-wheel drive,25.0,35.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,black,black,154996.0,3.0,30.0,62484.18917780385,92511.81082219616,-92511.81082219616,148.05635159791586,potentially_overpriced
mercedes-benz,amg g 63 base,2021.0,4660.0,4.0l v8 32v gdi dohc twin turbo,4.0,9-speed automatic,1.0,gasoline,four-wheel drive,19.0,26.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,tartufo brown,emerald green metallic,191880.0,3.0,22.5,101036.67234830273,90843.32765169727,-90843.32765169727,89.91124266101515,potentially_overpriced
porsche,911 turbo s,2019.0,3933.0,3.8l h6 24v gdi dohc twin turbo,3.8,7-speed automatic with auto-shift,1.0,gasoline,four-wheel drive,,,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,black,silver,189500.0,5.0,,99094.08511046018,90405.91488953982,-90405.91488953982,91.23240281068678,potentially_overpriced
porsche,911 gt3,2022.0,5100.0,4.0l h6 24v gdi dohc,4.0,7-speed automatic with auto-shift,1.0,gasoline,rear-wheel drive,17.0,23.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,black,chalk,274000.0,2.0,20.0,185681.63078655346,88318.36921344654,-88318.36921344654,47.5644084120368,potentially_overpriced
mercedes-benz,amg g 63 base,2021.0,19794.0,4.0l v8 32v gdi dohc twin turbo,4.0,9-speed automatic,1.0,gasoline,four-wheel drive,16.0,26.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,black / red,white,192999.0,3.0,21.0,104950.08595739157,88048.91404260843,-88048.91404260843,83.8959904028618,potentially_overpriced
mercedes-benz,amg g 63 base,2020.0,22505.0,4.0l v8 32v gdi dohc twin turbo,4.0,9-speed automatic,1.0,gasoline,four-wheel drive,21.0,27.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,classic red,white,178750.0,4.0,24.0,90839.08277455874,87910.91722544126,-87910.91722544126,96.77653553990136,potentially_overpriced
porsche,911 carrera cabriolet,1998.0,21395.0,3.6l h6 12v mpfi sohc,3.6,6-speed manual,0.0,gasoline,rear-wheel drive,19.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,cashmere beige,black,125975.0,26.0,21.0,39340.958500178866,86634.04149982113,-86634.04149982113,220.2133471136125,potentially_overpriced
mercedes-benz,amg g 63 base,2019.0,26060.0,4.0l v8 32v gdi dohc twin turbo,4.0,9-speed automatic,1.0,gasoline,four-wheel drive,,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,brown,designo,174995.0,5.0,,95325.78107206125,79669.21892793875,-79669.21892793875,83.57573159323294,potentially_overpriced
mercedes-benz,amg s 65 base,2019.0,20043.0,6.0l v12 36v mpfi sohc twin turbo,6.0,7-speed automatic,1.0,gasoline,rear-wheel drive,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,crystal grey,gray,133076.0,5.0,,56134.34795017434,76941.65204982566,-76941.65204982566,137.0669738929188,potentially_overpriced
mercedes-benz,sprinter high roof,2013.0,50000.0,3.0l v6 24v ddi dohc turbo diesel,3.0,5-speed automatic,1.0,diesel,rear-wheel drive,24.0,37.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,black,jet black,111340.0,11.0,30.5,37572.908905354016,73767.09109464599,-73767.09109464599,196.330529745421,potentially_overpriced
land,rover range rover p400 se,2023.0,112.0,3.0l i6 24v gdi dohc turbo,3.0,automatic,1.0,gasoline,four-wheel drive,13.0,18.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,perlino,fuji white,159500.0,1.0,15.5,85803.3028347261,73696.6971652739,-73696.6971652739,85.89028012969165,potentially_overpriced
porsche,911 turbo,2019.0,13091.0,3.8l h6 24v gdi dohc twin turbo,3.8,7-speed automatic with auto-shift,1.0,gasoline,four-wheel drive,19.0,23.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,black,red,169995.0,5.0,21.0,96334.40615079277,73660.59384920723,-73660.59384920723,76.46343273648867,potentially_overpriced
porsche,718 cayman gt4,2020.0,10298.0,"4l h-6 gasoline direct injection, dohc, variocam variable valve",4.0,"manual, 6-spd",0.0,gasoline,rear-wheel drive,,,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,leather/alcantara black w/ yellow stitching,miami blue,145998.0,4.0,,72844.03107185014,73153.96892814986,-73153.96892814986,100.42548147286634,potentially_overpriced
mercedes-benz,maybach s 650 base,2019.0,30767.0,6.0l v12 36v mpfi sohc twin turbo,6.0,7-speed automatic,1.0,gasoline,rear-wheel drive,15.0,24.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,brown,black,129800.0,5.0,19.5,57122.756521211384,72677.24347878862,-72677.24347878862,127.22993060007772,potentially_overpriced
land,rover range rover p400 se,2023.0,6309.0,3.0l i6 24v gdi dohc turbo,3.0,automatic,1.0,gasoline,four-wheel drive,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,ebony,santorini black,159995.0,1.0,,88563.95335014367,71431.04664985633,-71431.04664985633,80.6547629682347,potentially_overpriced
mercedes-benz,sprinter 3500xd high roof,2020.0,23888.0,3.0l v6 24v ddi dohc turbo diesel,3.0,7-speed automatic,1.0,diesel,rear-wheel drive,,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,gray,black,124999.0,4.0,,54761.55489467236,70237.44510532764,-70237.44510532764,128.26050180719193,potentially_overpriced
cadillac,escalade v-series,2023.0,3310.0,6.2l v8 16v gdi ohv supercharged,6.2,10-speed automatic with overdrive,1.0,gasoline,four-wheel drive,15.0,20.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,jet black,black raven,195699.0,1.0,17.5,130191.71882916676,65507.281170833245,-65507.281170833245,50.31601223176854,potentially_overpriced
mercedes-benz,sprinter country side,2015.0,3093.0,3.0l v6 24v ddi dohc turbo diesel,3.0,5-speed automatic,1.0,diesel,rear-wheel drive,13.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,gray,silver,117500.0,9.0,15.0,52220.78206390208,65279.21793609792,-65279.21793609792,125.00620510856454,potentially_overpriced
mercedes-benz,g-class g 550 4matic,2020.0,32266.0,4.0l v8 32v gdi dohc twin turbo,4.0,9-speed automatic,1.0,gasoline,four-wheel drive,22.0,28.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,black,black,146016.0,4.0,25.0,84444.44669758821,61571.55330241179,-61571.55330241179,72.91367959684946,potentially_overpriced
land,rover range rover p400 se,2022.0,2559.0,"ingenium 3l i-6 gasoline direct injection, dohc, cvvl variable v",,automatic 8-speed,1.0,gasoline,four-wheel drive,16.0,21.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,black,white,139888.0,2.0,18.5,78334.75301127833,61553.24698872167,-61553.24698872167,78.57718907961512,potentially_overpriced
land,rover range rover autobiography,2023.0,6012.0,4.4l v8 32v gdi dohc twin turbo,4.4,automatic,1.0,gasoline,four-wheel drive,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,ebony,carpathian grey,195993.0,1.0,,135439.0600108888,60553.93998911121,-60553.93998911121,44.70936226539294,potentially_overpriced
lexus,lx 600 ultra luxury,2022.0,17448.0,3.5l v6 24v pdi dohc twin turbo,3.5,10-speed automatic,1.0,gasoline,four-wheel drive,20.0,27.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,black,black,139986.0,2.0,23.5,79530.19363017679,60455.806369823214,-60455.806369823214,76.01616896715812,potentially_overpriced
porsche,718 cayman gt4,2020.0,11279.0,"4l h-6 gasoline direct injection, dohc, variocam variable valve",4.0,6-speed manual,0.0,gasoline,rear-wheel drive,20.0,25.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,black,gentian blue metallic,127749.0,4.0,22.5,72750.10510638251,54998.894893617486,-54998.894893617486,75.59974630028722,potentially_overpriced
nissan,gt-r premium,2015.0,12091.0,"3.8l v-6 dohc, variable valve control, twin turbo, engine with 5",3.8,automatic,1.0,gasoline,four-wheel drive,17.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,black,pearl white,92995.0,9.0,20.5,38694.50210225364,54300.49789774636,-54300.49789774636,140.33130017864684,potentially_overpriced
porsche,taycan cross turismo turbo s,2022.0,1035.0,electric,,2-speed automatic,1.0,electric,four-wheel drive,19.0,23.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,black,black,177000.0,2.0,21.0,122892.14869651054,54107.85130348946,-54107.85130348946,44.02872915593006,potentially_overpriced
maserati,granturismo mc,2018.0,8982.0,engine: 4.7l v8 454hp/384ft-lb torque,4.7,automatic,1.0,gasoline,rear-wheel drive,12.0,19.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,camel,black,104950.0,6.0,15.5,51737.1895075217,53212.8104924783,-53212.8104924783,102.852147553825,potentially_overpriced
mercedes-benz,maybach gls 600 4matic,2023.0,1730.0,4.0l v8 32v gdi dohc twin turbo,4.0,9-speed automatic,1.0,gasoline,four-wheel drive,22.0,29.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,black,obsidian black metallic,189995.0,1.0,25.5,137599.4059731366,52395.5940268634,-52395.5940268634,38.0783577198673,potentially_overpriced
land,rover range rover p400 se,2023.0,2631.0,3.0l i6 24v gdi dohc turbo,3.0,automatic,1.0,gasoline,four-wheel drive,21.0,26.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,ebony,hakuba silver,141795.0,1.0,23.5,89563.9004643537,52231.099535646295,-52231.099535646295,58.31713364966077,potentially_overpriced
porsche,911 targa,1987.0,66516.0,h6,,5-speed manual,0.0,gasoline,rear-wheel drive,16.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,guards red,79000.0,37.0,19.5,27200.312623015154,51799.687376984846,-51799.687376984846,190.43783832526722,potentially_overpriced
porsche,911 carrera gts,2022.0,426.0,3.0l h6 24v gdi dohc twin turbo,3.0,8-speed automatic with auto-shift,1.0,gasoline,rear-wheel drive,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,chalk,agate gray metallic,203977.0,2.0,,154875.4006656511,49101.599334348895,-49101.599334348895,31.703936921752124,potentially_overpriced
land,rover range rover p400 se,2023.0,1354.0,3.0l i6 24v gdi dohc turbo,3.0,automatic,1.0,gasoline,four-wheel drive,21.0,25.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,ebony,carpathian grey,141990.0,1.0,23.0,93378.68347224414,48611.31652775586,-48611.31652775586,52.058258609102225,potentially_overpriced
nissan,gt-r black edition,2015.0,8178.0,3.8l v6 24v mpfi dohc twin turbo,3.8,6-speed automatic with auto-shift,1.0,gasoline,four-wheel drive,14.0,19.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,black,gun metallic,91800.0,9.0,16.5,44687.791173492486,47112.208826507514,-47112.208826507514,105.42523492289573,potentially_overpriced
lexus,lx 600 lx 600 f sport,2022.0,5724.0,twin turbo premium unleaded v-6 3.5 l/210,3.5,automatic,1.0,gasoline,four-wheel drive,20.0,29.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,black,ultra white,137488.0,2.0,24.5,90745.43449546701,46742.56550453299,-46742.56550453299,51.509550606502316,potentially_overpriced
chevrolet,corvette zr-1,2010.0,45416.0,6.2l v8 16v mpfi ohv supercharged,6.2,6-speed manual,0.0,gasoline,rear-wheel drive,14.0,20.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,ebony,black,72022.0,14.0,17.0,25556.033358609264,46465.96664139074,-46465.96664139074,181.81994830483887,potentially_overpriced
porsche,911 turbo,2015.0,35995.0,3.8l h6 24v gdi dohc twin turbo,3.8,7-speed automatic with auto-shift,1.0,gasoline,four-wheel drive,,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,luxor beige,dark blue metallic,112975.0,9.0,,66587.86860698064,46387.13139301936,-46387.13139301936,69.66303677147046,potentially_overpriced
cadillac,ct6-v 4.2l blackwing twin turbo,2020.0,885.0,550.0hp 4.2l 8 cylinder engine gasoline fuel,4.2,10-speed a/t,0.0,gasoline,four-wheel drive,21.0,31.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,black,black,94799.0,4.0,26.0,49362.56382261951,45436.43617738049,-45436.43617738049,92.04634577055752,potentially_overpriced
porsche,911 carrera cabriolet,1995.0,55638.0,3.6l h6 mpfi sohc,3.6,6-speed manual,0.0,gasoline,rear-wheel drive,18.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,red,grand prix white,76800.0,29.0,22.0,31389.219987867236,45410.78001213276,-45410.78001213276,144.66998552268973,potentially_overpriced
bmw,i8 base,2019.0,26878.0,1.5l i3 12v gdi dohc turbo hybrid,1.5,6-speed automatic,1.0,hybrid,four-wheel drive,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,giga amido,crystal white metallic,89999.0,5.0,,46278.88360381584,43720.11639618416,-43720.11639618416,94.47098329005348,potentially_overpriced
